id,name,duration_ms,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,format
4poeu6nUr4UQo1RXpp29Js,72 Seasons,459120,55,0.193,0.983,-3.929,1,0.0591,4.01e-05,0.0375,0.0645,0.385,168.193,4,0
1XcRSCO0AbSIX4f6z29MFn,Shadows Follow,371880,53,0.313,0.979,-3.907,1,0.0462,0.000121,0.0313,0.261,0.678,178.884,4,0
2zSb2Db4kNYH5qIs5V3BgG,Screaming Suicide,330453,53,0.425,0.972,-3.448,0,0.045,2.42e-05,0.0202,0.239,0.282,101.125,4,0
1WjgFpSxwA0Bqyr7hWc3f1,Sleepwalk My Life Away,416066,50,0.43,0.95,-4.203,1,0.034,1.73e-05,0.0641,0.103,0.543,124.931,4,0
6HMs5zF1uidrx8UHAZdSVe,You Must Burn!,423013,49,0.397,0.958,-3.088,0,0.0341,0.000122,0.0203,0.0378,0.416,85.836,4,0
18zjwSgYiwu1Meb7Po3tUP,Lux Æterna,205679,57,0.386,0.996,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,4,0
1FdinUvlpQj2nqbzuS7XRw,Crown of Barbed Wire,349400,47,0.437,0.964,-4.012,1,0.0367,2.06e-05,0.0411,0.0598,0.249,111.699,4,0
5krkEca0E6k01D2CYvLuZx,Chasing Light,405106,46,0.243,0.982,-3.626,1,0.0547,2e-05,0.0448,0.421,0.652,182.806,4,0
3i4Nwzze8zflIoKsuoeBPM,If Darkness Had a Son,396293,52,0.47,0.945,-4.378,1,0.045,2.3e-05,0.00544,0.0399,0.379,123.398,4,0
7KdgYr9jNkQO1Au7BGjGLW,Too Far Gone?,273693,59,0.462,0.99,-4.134,1,0.047,2.77e-05,0.0261,0.0999,0.492,96.579,4,0
07gm9g5b2LF3XJfYPnsVsj,Room of Mirrors,333706,47,0.263,0.989,-3.45,0,0.0533,1.95e-05,0.0535,0.112,0.68,159.332,4,0
4q55PFuLhKPB1JT1ZqYhsL,Inamorata,670253,48,0.495,0.872,-4.062,1,0.0329,0.000289,0.00894,0.0626,0.308,120.443,4,0
0L5ZW54haCFM84is0UhLjj,The Ecstasy of Gold (Live),161053,37,0.112,0.616,-11.209,0,0.0837,0.0741,0.303,0.975,0.124,68.481,4,2
2v0QgowVkLxj9cB1jzj3C0,The Call of Ktulu (Live),554413,33,0.226,0.899,-8.021,0,0.0754,5.02e-05,0.79,0.552,0.0811,133.271,4,2
5YPzY1EmlXP7RoPz3dvhY8,For Whom the Bell Tolls (Live),276640,36,0.276,0.949,-7.676,1,0.0867,7.55e-06,0.109,0.876,0.118,131.589,4,2
5bpoBNwWolJcSlZRi3UPHx,The Day that Never Comes (Live),506853,35,0.298,0.917,-9.244,1,0.0797,0.000116,0.0416,0.906,0.231,136.026,4,2
6HniW4lKCUneQnNOFm6Fdw,The Memory Remains (Live),342437,33,0.176,0.831,-9.025,1,0.0638,0.00225,0.00234,0.903,0.11,81.541,4,2
40EPUsKIP6KMXy0tkkIhdL,Confusion (Live),401295,31,0.356,0.969,-7.569,1,0.0977,2.2e-05,0.0607,0.972,0.216,126.284,4,2
35YBgQqJmonhnnrukXqZXl,Moth Into Flame (Live),377800,32,0.324,0.943,-8.036,1,0.067,1.6e-05,0.0117,0.775,0.209,93.584,4,2
5BAcCATD6kFplCbAZXgYTx,The Outlaw Torn (Live),602720,32,0.328,0.848,-8.467,1,0.0616,2.15e-05,0.017,0.976,0.338,126.572,4,2
3GTmmIGmU3htgNun6b1KBX,No Leaf Clover (Live),330106,37,0.212,0.926,-7.362,1,0.0883,0.000588,0.000747,0.986,0.18,79.408,4,2
